word	reading	meaning	level	pos
一	いち	one	N5	noun
二	に	two	N5	noun
三	さん	three	N5	noun
四	よん	four	N5	noun
五	ご	five	N5	noun
六	ろく	six	N5	noun
七	なな	seven	N5	noun
八	はち	eight	N5	noun
九	きゅう	nine	N5	noun
十	じゅう	ten	N5	noun
百	ひゃく	hundred	N5	noun
千	せん	thousand	N5	noun
万	まん	ten thousand	N5	noun
今日	きょう	today	N5	noun
明日	あした	tomorrow	N5	noun
昨日	きのう	yesterday	N5	noun
今	いま	now	N5	noun
時間	じかん	time; hour	N5	noun
分	ふん	minute	N5	noun
週間	しゅうかん	week (duration)	N5	noun
月	つき	month; moon	N5	noun
年	とし	year	N5	noun
朝	あさ	morning	N5	noun
昼	ひる	noon; daytime	N5	noun
夜	よる	night	N5	noun
毎日	まいにち	every day	N5	noun
毎週	まいしゅう	every week	N5	noun
毎年	まいとし	every year	N5	noun
月曜日	げつようび	Monday	N5	noun
火曜日	かようび	Tuesday	N5	noun
水曜日	すいようび	Wednesday	N5	noun
木曜日	もくようび	Thursday	N5	noun
金曜日	きんようび	Friday	N5	noun
土曜日	どようび	Saturday	N5	noun
日曜日	にちようび	Sunday	N5	noun
家族	かぞく	family	N5	noun
父	ちち	father	N5	noun
母	はは	mother	N5	noun
兄	あに	older brother	N5	noun
姉	あね	older sister	N5	noun
弟	おとうと	younger brother	N5	noun
妹	いもうと	younger sister	N5	noun
両親	りょうしん	parents	N5	noun
子供	こども	child	N5	noun
私	わたし	I; me	N5	noun
友達	ともだち	friend	N5	noun
先生	せんせい	teacher	N5	noun
学生	がくせい	student	N5	noun
人	ひと	person	N5	noun
学校	がっこう	school	N5	noun
家	いえ	house	N5	noun
会社	かいしゃ	company	N5	noun
病院	びょういん	hospital	N5	noun
銀行	ぎんこう	bank	N5	noun
駅	えき	station	N5	noun
図書館	としょかん	library	N5	noun
店	みせ	shop	N5	noun
部屋	へや	room	N5	noun
国	くに	country	N5	noun
日本	にほん	Japan	N5	noun
本	ほん	book	N5	noun
新聞	しんぶん	newspaper	N5	noun
車	くるま	car	N5	noun
電車	でんしゃ	train	N5	noun
自転車	じてんしゃ	bicycle	N5	noun
かばん	かばん	bag	N5	noun
机	つくえ	desk	N5	noun
椅子	いす	chair	N5	noun
ペン	ぺん	pen	N5	noun
紙	かみ	paper	N5	noun
傘	かさ	umbrella	N5	noun
時計	とけい	clock; watch	N5	noun
靴	くつ	shoes	N5	noun
服	ふく	clothes	N5	noun
お金	おかね	money	N5	noun
電話	でんわ	telephone	N5	noun
テレビ	てれび	television	N5	noun
水	みず	water	N5	noun
お茶	おちゃ	tea	N5	noun
食べ物	たべもの	food	N5	noun
飲み物	のみもの	drink	N5	noun
ご飯	ごはん	rice; meal	N5	noun
パン	ぱん	bread	N5	noun
肉	にく	meat	N5	noun
魚	さかな	fish	N5	noun
野菜	やさい	vegetable	N5	noun
